Evento	Frecuencia
confide	75
explaining	75
comprehended	75
quarrelled	75
derived	75
murdered	75
clean	75
yielding	75
strode	75
judging	75
rob	75
none	75
adorned	75
viewed	75
guard	75
lain	75
engrossed	75
ushered	74
furnish	74
restrain	74
tasted	74
swung	74
is	74
instructed	74
fetched	74
journey	74
enters	74
musing	74
blow	74
submitted	74
situated	74
subsided	73
enclosed	73
treating	73
preached	73
seize	73
wiping	73
kneeling	73
witness	73
undertook	73
warmed	73
remark	73
suffice	73
melted	73
rejected	73
resign	73
floating	73
trained	73
posted	73
accepting	73
kicked	72
stirring	72
imposed	72
attacked	72
rid	72
stating	72
planned	72
avoiding	72
worry	72
arisen	72
resented	72
clothed	72
backed	72
grasp	72
borrow	72
converse	72
adds	72
wouldn’t	72
reckoned	71
starve	71
quitting	71
praised	71
nurse	71
cursed	71
swallow	71
objected	71
thrusting	71
scold	71
expects	71
quivering	71
arriving	71
alighted	71
smoking	71
imply	71
interested	71
understanding	71
feels	71
contain	71
hiding	71
transaction	71
penetrate	71
compose	71
professed	71
tumbled	71
inspire	71
condemn	71
curled	70
glowed	70
staggered	70
dressing	70
practise	70
gleamed	70
avail	70
climb	70
favoured	70
shrinking	70
moves	70
surprise	70
ruled	70
arise	70
opens	70
Say	70
vote	70
punished	70
draws	70
rejoins	70
growled	69
relaxed	69
seizing	69
await	69
dried	69
stooping	69
averted	69
discharged	69
announcing	69
inflicted	69
envy	69
meetings	69
clad	69
Had	69
due	69
offers	69
effect	69
provoked	68
feed	68
renew	68
insulted	68
pretending	68
stare	68
settling	68
careful	68
protest	68
bears	68
terminated	68
pinched	67
complained	67
mourning	67
master	67
rung	67
detect	67
supporting	67
imparted	67
shouting	67
reigned	67
tearing	67
summit	67
dispersed	67
desert	67
march	66
ensure	66
undergone	66
tempt	66
panting	66
replaced	66
stricken	66
streamed	66
content	66
missing	66
bother	66
hired	66
drunk	66
ease	66
restrained	66
conversing	66
neglect	66
parting	66
exercised	66
attributed	66
sets	66
contrasted	66
denoted	66
result	66
preceded	65
flinging	65
urging	65
flatter	65
insult	65
worried	65
lock	65
calm	65
protected	65
wander	65
winning	65
murmuring	65
proclaim	65
invested	65
throws	65
does	65
published	65
accounted	65
endowed	65
preach	65
lays	65
pursues	65
swayed	64
extinguished	64
correct	64
avert	64
starved	64
Remember	64
quickened	64
reassured	64
sighing	64
gaining	64
dictated	64
admiring	64
heaved	63
disappoint	63
linger	63
blamed	63
ends	63
boast	63
awaiting	63
dies	63
fearing	63
hushed	63
flowing	63
overpowered	63
fashioned	63
remonstrated	63
observes	63
knaw	63
stepping	62
rattled	62
esteemed	62
sung	62
excused	62
commence	62
removing	62
sworn	62
rewarded	62
contrive	62
surveying	62
sustain	62
attired	62
guarded	62
studying	62
recognize	62
reconcile	62
betraying	62
producing	62
seating	62
rescued	62
execute	61
jump	61
thundered	61
bend	61
plead	61
sparkled	61
Speak	61
alarm	61
handle	61
oppose	61
intimated	61
conclude	61
laughs	61
tries	61
consigned	61
awaken	61
promising	61
efforts	61
beckoned	61
hailed	60
varied	60
subdue	60
fling	60
questioning	60
concerning	60
birth	60
depressed	60
compare	60
traversed	60
stained	60
reflecting	60
benefit	60
penetrated	60
ending	60
dealing	60
pierced	60
interfered	60
meddle	59
Get	59
piled	59
mount	59
shivering	59
ordering	59
intending	59
misunderstood	59
quarrelling	59
hastening	59
killing	59
reproached	59
repay	59
report	59
scorn	59
embarrassed	59
sufficient	59
abide	59
bit	59
worshipped	59
warning	59
Suppose	59
receives	59
sounds	59
combined	59
withered	59
continuing	59
assistance	59
s'pose	59
spoiled	58
tempered	58
performing	58
evinced	58
tossing	58
inflict	58
spring	58
containing	58
soften	58
forcing	58
persist	58
explosion	58
executed	58
annoy	58
shrugged	58
stunned	58
entrusted	58
willing	58
realise	58
wasn’t	58
praying	57
halted	57
starving	57
exchange	57
sail	57
inquiring	57
sufficed	57
meditating	57
lean	57
swelled	57
disguised	57
defy	57
replying	57
lunch	57
praise	57
enveloped	57
stung	57
counting	56
appealing	56
designed	56
resuming	56
excepting	56
converted	56
impelled	56
muttering	56
contradict	56
greet	56
stretch	56
accompanying	56
Pray	56
understands	56
worth	56
chilled	56
refreshed	56
works	56
mastered	56
“and	56
constituted	56
lifts	56
noticing	55
clenched	55
crouched	55
wronged	55
envied	55
divert	55
overlooked	55
vanish	55
contemplating	55
repented	55
contributed	55
lives	55
warm	55
signify	55
accosted	55
breathing	55
presents	55
presenting	55
confirm	55
trip	55
hint	55
embarked	55
approval	55
recorded	55
overtaken	55
disclosed	55
stumbled	55
communicating	55
baffled	55
view	55
disappear	55
imagining	54
cherish	54
covering	54
tend	54
labour	54
plenty	54
Leave	54
snatch	54
interrupting	54
rattling	54
summon	54
striving	54
resided	54
reconciled	54
diverted	54
bide	54
faint	54
peeped	54
flight	54
lounging	54
associate	54
reiterated	54
acts	54
spreading	54
incur	54
availed	54
confronted	54
replace	54
suppressed	54
heed	54
foot	54
choosing	54
beset	54
shuddering	53
resent	53
grumbled	53
administered	53
chattering	53
acquire	53
leaping	53
complaining	53
meditated	53
anticipate	53
vex	53
liking	53
distracted	53
desiring	53
fainted	53
sticking	53
forwarded	53
display	53
denying	53
attain	53
glittering	53
dawned	53
disgraced	53
bet	53
favour	53
inviting	53
impart	53
discern	53
crush	52
finishing	52
partake	52
brooding	52
compared	52
winding	52
blessing	52
pronounce	52
exerted	52
concealing	52
toiled	52
whisper	52
framed	52
fluttering	52
incident	52
conversed	52
achieve	52
loaded	52
influence	52
inhabited	52
define	52
omitted	52
occur	52
knowed	52
revolution	52
characterised	52
crowned	52
copied	52
determine	51
plucked	51
conflict	51
cheated	51
teaching	51
bidding	51
jumping	51
adored	51
recoiled	51
stammered	51
committing	51
plunge	51
taste	51
assuring	51
fatigued	51
triumphed	51
reads	51
stationed	51
interpreted	51
caring	51
slipping	51
referring	51
speculate	51
rallied	51
lowering	51
condescended	51
beamed	51
illuminated	51
cracked	51
 and	51
invent	50
pleases	50
creep	50
disguise	50
deem	50
shaded	50
rendering	50
abuse	50
stifled	50
hovering	50
complied	50
insisting	50
biting	50
extend	50
plays	50
meaning	50
fails	50
indicate	50
reward	50
attacks	50
adore	50
drown	50
aged	50
adapted	50
transferred	50
mounting	49
cured	49
limited	49
carved	49
See	49
provoke	49
delight	49
scorned	49
streaming	49
prevail	49
pack	49
recalling	49
payment	49
revolted	49
pays	49
resolve	49
longing	49
flown	49
ridden	49
edged	49
clearing	49
silenced	49
climbing	49
suppress	49
disconcerted	49
quoted	49
buying	49
impress	49
reason	49
strive	49
astounded	49
exclaim	48
hurled	48
escaping	48
harassed	48
ached	48
smote	48
pondered	48
entertaining	48
nursing	48
frowned	48
valued	48
fluttered	48
aided	48
curse	48
rejoicing	48
wrong	48
distress	48
differ	48
consumed	48
associated	48
starts	48
fascinated	48
armed	48
survive	48
reassure	48
unlocked	48
wrought	48
subjected	48
profess	48
wind	48
hovered	47
refrain	47
scolded	47
slid	47
landed	47
pictured	47
humoured	47
pained	47
bind	47
resembled	47
wipe	47
possesses	47
wet	47
glance	47
intensity	47
comply	47
strayed	47
partook	47
pondering	47
reside	47
withdrawing	47
recurred	47
imitate	47
conferred	47
forgave	47
governed	47
folding	47
development	47
degraded	47
extending	47
relate	47
mattered	47
blinded	47
seed	47
inquires	47
isn’t	47
overcame	46
discerned	46
mourned	46
behaving	46
stroking	46
cultivate	46
applying	46
moaned	46
strained	46
pledge	46
reasoned	46
amounted	46
printed	46
permitting	46
informing	46
laboured	46
conducting	46
improving	46
divine	46
heaped	46
tapped	46
survived	46
included	46
smoothed	46
propped	46
shattered	46
bowing	46
retraced	46
freed	46
elected	46
expresses	46
afflicted	46
beware	45
cure	45
aimed	45
overlook	45
maintaining	45
smelt	45
cool	45
objection	45
post	45
torture	45
acquiesced	45
signified	45
shew	45
refrained	45
requesting	45
boiled	45
launched	45
blazed	45
drifted	45
tapping	45
decorated	45
bolted	45
introduction	45
seeks	45
sure	45
cultivated	45
congratulated	45
despair	45
acquaint	45
discontented	45
lavished	44
lurking	44
rousing	44
threatening	44
deserves	44
dashing	44
Put	44
emptied	44
forsake	44
doubled	44
conveying	44
value	44
sauntered	44
sweeping	44
soothing	44
equal	44
perused	44
enduring	44
trampled	44
indulging	44
encouraging	44
retaining	44
flashing	44
worship	44
bequeathed	44
shaped	44
consulting	44
arrives	44
disposal	44
results	44
describing	44
rattle	44
figured	44
concentrated	44
assailed	44
hunt	44
involve	44
testify	44
joking	44
wears	44
banish	44
overtake	44
hunted	44
renounce	44
courted	44
contains	44
snapped	43
mend	43
confounded	43
reared	43
grumbling	43
cheat	43
removal	43
rally	43
disturbing	43
exhibit	43
patted	43
develop	43
handled	43
conjured	43
displaying	43
terminate	43
pleasing	43
accorded	43
settlement	43
relinquish	43
investigation	43
foreseen	43
handing	43
treading	43
suggesting	43
glittered	43
pauses	43
constrained	42
reduce	42
whirled	42
invaded	42
kick	42
fret	42
washing	42
free	42
abashed	42
serving	42
hindered	42
yearned	42
tormented	42
resignation	42
peering	42
Have	42
linked	42
scented	42
pitched	42
tie	42
Walk	42
recollecting	42
whistled	42
revive	42
Stop	42
poisoned	42
deprive	42
labouring	42
bow	42
groping	42
thanking	42
strengthen	42
diminished	42
blazing	42
publish	42
redeem	42
weigh	42
riveted	42
elevated	42
muffled	42
incurred	42
divide	41
sheltered	41
defended	41
esteem	41
eyeing	41
restoring	41
saluted	41
enquired	41
fasten	41
doubting	41
reappeared	41
introducing	41
squeezed	41
measured	41
distressed	41
convulsed	41
clutched	41
possessing	41
meets	41
arising	41
discharge	41
lightened	41
caressed	41
imprisoned	41
appropriated	41
stripped	41
assigned	41
profit	41
Bless	41
confessing	41
sweep	41
ruffled	41
rain	41
pursuit	41
rub	41
plunging	41
likely	41
bidden	41
humbled	41
shewed	41
tucked	40
kicking	40
ranged	40
bestowing	40
puffed	40
earning	40
undone	40
leap	40
distorted	40
securing	40
breakfast	40
abused	40
shifted	40
contribute	40
tripped	40
excluded	40
blush	40
mended	40
